"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 14 15:19:14 UTC 2026","Sat Feb 14 15:19:59 UTC 2026","45008","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
"passed","Sat Feb 14 15:19:56 UTC 2026","Sat Feb 14 15:20:17 UTC 2026","20653","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
"failed","Sat Feb 14 15:20:17 UTC 2026","Sat Feb 14 15:20:38 UTC 2026","20720","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
"passed","Sat Feb 14 15:19:14 UTC 2026","Sat Feb 14 15:19:51 UTC 2026","37318","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"broken","Sat Feb 14 15:20:17 UTC 2026","Sat Feb 14 15:20:21 UTC 2026","3541","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
