"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 14 14:10:19 UTC 2026","Sat Feb 14 14:10:23 UTC 2026","3828","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
"passed","Sat Feb 14 14:09:07 UTC 2026","Sat Feb 14 14:09:58 UTC 2026","51131","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
"failed","Sat Feb 14 14:10:19 UTC 2026","Sat Feb 14 14:10:41 UTC 2026","21546","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
"passed","Sat Feb 14 14:09:07 UTC 2026","Sat Feb 14 14:09:52 UTC 2026","44538","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"passed","Sat Feb 14 14:09:58 UTC 2026","Sat Feb 14 14:10:19 UTC 2026","20974","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
