"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 14 10:38:16 UTC 2026","Sat Feb 14 10:38:56 UTC 2026","40417","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
"failed","Sat Feb 14 10:39:26 UTC 2026","Sat Feb 14 10:39:51 UTC 2026","25571","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
"passed","Sat Feb 14 10:38:16 UTC 2026","Sat Feb 14 10:38:48 UTC 2026","32076","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"broken","Sat Feb 14 10:39:26 UTC 2026","Sat Feb 14 10:39:32 UTC 2026","5862","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
"passed","Sat Feb 14 10:38:56 UTC 2026","Sat Feb 14 10:39:26 UTC 2026","29999","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
