"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21685","Invalid login using direct feature data","","2026-02-18","passed","2026-02-18","","User Authentication","Invalid login using direct feature data",""
"","23878","Successful login with admin credentials","","2026-02-18","passed","2026-02-18","","User Authentication","Successful login with admin credentials",""
