"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 14 12:09:29 UTC 2026","Sat Feb 14 12:09:57 UTC 2026","28363","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"passed","Sat Feb 14 12:09:29 UTC 2026","Sat Feb 14 12:10:01 UTC 2026","32241","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
"passed","Sat Feb 14 12:10:01 UTC 2026","Sat Feb 14 12:10:17 UTC 2026","16301","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
"failed","Sat Feb 14 12:10:17 UTC 2026","Sat Feb 14 12:10:35 UTC 2026","17825","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
"broken","Sat Feb 14 12:10:17 UTC 2026","Sat Feb 14 12:10:21 UTC 2026","3923","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
