"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20388","Test 1 Successful login with admin credentials","","Sat Feb 07 18:42:55 UTC 2026","failed","Sat Feb 07 18:43:15 UTC 2026","","User Authentication","Test 1 Successful login with admin credentials",""
"","18151","Successful login with admin credentials","","Sat Feb 07 18:42:55 UTC 2026","passed","Sat Feb 07 18:43:13 UTC 2026","","User Authentication","Successful login with admin credentials",""
"","14863","Invalid login using direct feature data","","Sat Feb 07 18:42:55 UTC 2026","passed","Sat Feb 07 18:43:10 UTC 2026","","User Authentication","Invalid login using direct feature data",""
"","2962","Test 2 Successful login with admin credentials","","Sat Feb 07 18:43:13 UTC 2026","broken","Sat Feb 07 18:43:16 UTC 2026","","User Authentication","Test 2 Successful login with admin credentials",""
"","13213","Test 3 Successful login with admin credentials","","Sat Feb 07 18:43:13 UTC 2026","passed","Sat Feb 07 18:43:26 UTC 2026","","User Authentication","Test 3 Successful login with admin credentials",""
