"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 14 15:00:05 UTC 2026","Sat Feb 14 15:00:11 UTC 2026","6373","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
"passed","Sat Feb 14 14:58:46 UTC 2026","Sat Feb 14 14:59:32 UTC 2026","45983","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
"passed","Sat Feb 14 14:58:46 UTC 2026","Sat Feb 14 14:59:23 UTC 2026","37278","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"passed","Sat Feb 14 14:59:31 UTC 2026","Sat Feb 14 15:00:05 UTC 2026","33517","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
"failed","Sat Feb 14 15:00:05 UTC 2026","Sat Feb 14 15:00:26 UTC 2026","21011","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
