"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 14 10:33:30 UTC 2026","Sat Feb 14 10:33:47 UTC 2026","16610","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
"broken","Sat Feb 14 10:33:47 UTC 2026","Sat Feb 14 10:33:50 UTC 2026","3370","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
"failed","Sat Feb 14 10:33:47 UTC 2026","Sat Feb 14 10:34:05 UTC 2026","17638","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
"passed","Sat Feb 14 10:32:57 UTC 2026","Sat Feb 14 10:33:26 UTC 2026","28642","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"passed","Sat Feb 14 10:32:57 UTC 2026","Sat Feb 14 10:33:30 UTC 2026","33119","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
