"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 14 09:52:07 UTC 2026","Sat Feb 14 09:52:22 UTC 2026","15106","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"passed","Sat Feb 14 09:51:50 UTC 2026","Sat Feb 14 09:52:07 UTC 2026","16878","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
"passed","Sat Feb 14 09:52:07 UTC 2026","Sat Feb 14 09:52:24 UTC 2026","17612","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
"broken","Sat Feb 14 09:52:22 UTC 2026","Sat Feb 14 09:52:26 UTC 2026","3711","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
"failed","Sat Feb 14 09:52:07 UTC 2026","Sat Feb 14 09:52:25 UTC 2026","18423","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
