"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 14 16:07:30 UTC 2026","Sat Feb 14 16:07:47 UTC 2026","16622","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
"passed","Sat Feb 14 16:06:55 UTC 2026","Sat Feb 14 16:07:27 UTC 2026","32238","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"failed","Sat Feb 14 16:07:47 UTC 2026","Sat Feb 14 16:08:05 UTC 2026","18223","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
"broken","Sat Feb 14 16:07:47 UTC 2026","Sat Feb 14 16:07:50 UTC 2026","3677","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
"passed","Sat Feb 14 16:06:55 UTC 2026","Sat Feb 14 16:07:30 UTC 2026","35372","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
