"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 14 10:05:14 UTC 2026","Sat Feb 14 10:05:31 UTC 2026","17785","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
"failed","Sat Feb 14 10:05:31 UTC 2026","Sat Feb 14 10:05:50 UTC 2026","18720","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
"passed","Sat Feb 14 10:04:36 UTC 2026","Sat Feb 14 10:05:14 UTC 2026","37235","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
"broken","Sat Feb 14 10:05:31 UTC 2026","Sat Feb 14 10:05:35 UTC 2026","3899","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
"passed","Sat Feb 14 10:04:36 UTC 2026","Sat Feb 14 10:05:07 UTC 2026","30367","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
