"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 14 13:07:08 UTC 2026","Sat Feb 14 13:07:43 UTC 2026","34822","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
"broken","Sat Feb 14 13:08:02 UTC 2026","Sat Feb 14 13:08:05 UTC 2026","3571","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
"passed","Sat Feb 14 13:07:43 UTC 2026","Sat Feb 14 13:08:02 UTC 2026","18693","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
"passed","Sat Feb 14 13:07:08 UTC 2026","Sat Feb 14 13:07:39 UTC 2026","30706","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"failed","Sat Feb 14 13:08:02 UTC 2026","Sat Feb 14 13:08:20 UTC 2026","18402","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
