"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Feb 14 11:55:53 UTC 2026","Sat Feb 14 11:56:11 UTC 2026","18527","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
"passed","Sat Feb 14 11:55:35 UTC 2026","Sat Feb 14 11:55:52 UTC 2026","17840","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
"passed","Sat Feb 14 11:55:00 UTC 2026","Sat Feb 14 11:55:35 UTC 2026","35004","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
"passed","Sat Feb 14 11:55:00 UTC 2026","Sat Feb 14 11:55:29 UTC 2026","29470","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"broken","Sat Feb 14 11:55:53 UTC 2026","Sat Feb 14 11:55:57 UTC 2026","4283","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
