"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Feb 14 15:53:39 UTC 2026","Sat Feb 14 15:53:57 UTC 2026","17256","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
"passed","Sat Feb 14 15:52:45 UTC 2026","Sat Feb 14 15:53:17 UTC 2026","31774","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"passed","Sat Feb 14 15:53:23 UTC 2026","Sat Feb 14 15:53:39 UTC 2026","16409","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
"broken","Sat Feb 14 15:53:39 UTC 2026","Sat Feb 14 15:53:43 UTC 2026","3523","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
"passed","Sat Feb 14 15:52:45 UTC 2026","Sat Feb 14 15:53:25 UTC 2026","39472","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
