"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 14 09:29:43 UTC 2026","Sat Feb 14 09:29:59 UTC 2026","15206","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"broken","Sat Feb 14 09:29:58 UTC 2026","Sat Feb 14 09:30:03 UTC 2026","4441","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
"broken","Sat Feb 14 09:29:43 UTC 2026","Sat Feb 14 09:29:58 UTC 2026","14896","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
"broken","Sat Feb 14 09:29:43 UTC 2026","Sat Feb 14 09:29:58 UTC 2026","15073","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
"broken","Sat Feb 14 09:29:58 UTC 2026","Sat Feb 14 09:30:13 UTC 2026","14497","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
