"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 14 10:27:13 UTC 2026","Sat Feb 14 10:27:16 UTC 2026","3606","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
"passed","Sat Feb 14 10:26:20 UTC 2026","Sat Feb 14 10:26:56 UTC 2026","35694","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
"passed","Sat Feb 14 10:26:20 UTC 2026","Sat Feb 14 10:26:51 UTC 2026","30657","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"passed","Sat Feb 14 10:26:56 UTC 2026","Sat Feb 14 10:27:13 UTC 2026","16524","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
"failed","Sat Feb 14 10:27:13 UTC 2026","Sat Feb 14 10:27:32 UTC 2026","18863","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
