"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 14 13:46:30 UTC 2026","Sat Feb 14 13:46:47 UTC 2026","16504","","User Authentication","","Test 3 Successful login with admin credentials","","Test 3 Successful login with admin credentials",""
"broken","Sat Feb 14 13:46:47 UTC 2026","Sat Feb 14 13:46:50 UTC 2026","3385","","User Authentication","","Test 2 Successful login with admin credentials","","Test 2 Successful login with admin credentials",""
"passed","Sat Feb 14 13:45:56 UTC 2026","Sat Feb 14 13:46:30 UTC 2026","34072","","User Authentication","","Successful login with admin credentials","","Successful login with admin credentials",""
"passed","Sat Feb 14 13:45:56 UTC 2026","Sat Feb 14 13:46:26 UTC 2026","29454","","User Authentication","","Invalid login using direct feature data","","Invalid login using direct feature data",""
"failed","Sat Feb 14 13:46:47 UTC 2026","Sat Feb 14 13:47:05 UTC 2026","17872","","User Authentication","","Test 1 Successful login with admin credentials","","Test 1 Successful login with admin credentials",""
