"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14131","Test 3 Successful login with admin credentials","","Sun Feb 08 04:48:01 UTC 2026","passed","Sun Feb 08 04:48:15 UTC 2026","","User Authentication","Test 3 Successful login with admin credentials",""
"","3363","Test 2 Successful login with admin credentials","","Sun Feb 08 04:48:01 UTC 2026","broken","Sun Feb 08 04:48:05 UTC 2026","","User Authentication","Test 2 Successful login with admin credentials",""
"","19100","Successful login with admin credentials","","Sun Feb 08 04:47:42 UTC 2026","passed","Sun Feb 08 04:48:01 UTC 2026","","User Authentication","Successful login with admin credentials",""
"","22123","Test 1 Successful login with admin credentials","","Sun Feb 08 04:47:42 UTC 2026","failed","Sun Feb 08 04:48:04 UTC 2026","","User Authentication","Test 1 Successful login with admin credentials",""
"","15390","Invalid login using direct feature data","","Sun Feb 08 04:47:42 UTC 2026","passed","Sun Feb 08 04:47:58 UTC 2026","","User Authentication","Invalid login using direct feature data",""
